year,gross_wmape,gross_corr,gross_aggregate_ratio,stock_wmape,stock_corr,stock_aggregate_ratio,investment_wmape,investment_corr,investment_aggregate_ratio,import_required_sum,import_cap_sum,inventory_net_change_sum
2019,0.16946144706319397,0.9419479257659411,0.8305385529368059,0.0657986160404086,0.9999043910705855,0.9379922198972184,0.9445956962506243,0.07725423192421092,0.10999805505987584,1350937.46792414,1639424.2929023218,0.0
2020,0.29483750622231464,0.9448648191137061,0.7051624937776854,0.11669089959823656,0.9997878394881153,0.8833091004017632,0.8904462055171164,0.12410746844535654,0.1160072646861547,1069865.2654271463,1526979.0787040177,0.0
2021,0.3614334009178026,0.9439128189399932,0.6385665990821977,0.17116371202261899,0.9995876383599949,0.8288362879773813,0.9362585118075827,0.15516359917987493,0.0637414881924175,1079618.4490020464,1702864.5578685158,0.0
2022,0.43631691108936077,0.945220031081087,0.5636830889106389,0.22255633877554598,0.9992623268483893,0.7774436612244542,0.9648592049902875,0.17174652634772364,0.03514079500971273,1001176.5339553523,1805750.324363219,0.0
2023,0.4486503560520489,0.9365952105952648,0.5513496439479508,0.2731414565085162,0.9988091182680185,0.7268585434914839,1.0,nan,0.0,898610.0075375828,1684193.6325596296,0.0
