year,initial_harmony,final_harmony,initial_fulfillment,final_fulfillment,final_production_scale,capital_constraint,labour_constraint,import_constraint
2019,0.4764792512852966,0.47521821272463394,1.0011583642111834,0.9961093290053581,0.9961093290053582,0.9961093290053582,1.2186778043118374,1.0287349569692386
2020,0.4346781024518668,0.4342151714671534,0.8457940772696545,0.8442020084781039,0.844202008478104,0.844202008478104,1.2258107879882685,1.0072357283625715
2021,0.3500035141711286,0.41221975853741877,0.5923168416784392,0.7714477323410118,0.7714477323410119,0.7714477323410119,1.2337838662936267,1.0298454582826815
2022,0.2678501968642379,0.3841067934254702,0.4024247705712047,0.686023921448934,0.6860239214489341,0.6860239214489341,1.2413304852208984,1.004774262771776
2023,0.19774899608986715,0.38348199104544406,0.27114194265716446,0.6842138980908212,0.6842138980908213,0.6842138980908213,1.2521987263155612,1.0063028332190218
