iteration,technology_mode,source_year,destination_year,mean_harmony_before,mean_harmony_after,gain,cv_before,cv_after,destination_harmony_before,destination_harmony_after,current_worst_fulfillment,desired_worst_fulfillment,step,capital_at_destination_gap_real_musd,investment_at_source_real_musd,top_capital_sources,top_capacity_destinations
1,historical,2019,2023,0.3453520121724794,0.34770950443948495,0.0023574922670055454,0.33327143748132626,0.3262836021478145,0.19774899608986715,0.2009660961941264,0.2711419426571645,0.2766624854847794,0.0055205428276148966,2169.6713330576313,5315.419765417766,5415:1617.185; 334:1357.758; 23:665.485; 511:434.257; 42:317.233,514:5315.420
2,historical,2019,2023,0.34770950443948495,0.3500445027609419,0.002334998321456949,0.3262836021478145,0.3194981687602982,0.2009660961941264,0.20416317656685495,0.2766624854847793,0.2821928913200213,0.0055304058352419975,2173.5476701451807,5324.9162999659475,5415:1620.074; 334:1360.184; 23:666.674; 511:435.033; 42:317.800,514:5324.916
3,historical,2019,2023,0.3500445027609419,0.35235715699514525,0.0023126542342033485,0.3194981687602982,0.3129097009531781,0.20416317656685495,0.20734015970575878,0.2821928913200213,0.28773272478604683,0.00553983346602556,2177.2528964043922,5333.993634672584,5415:1622.836; 334:1362.503; 23:667.810; 511:435.775; 42:318.342,514:5333.994
4,historical,2019,2023,0.35235715699514525,0.3546476185876042,0.0022904615924589367,0.3129097009531781,0.30651299567222745,0.20734015970575878,0.2104969745453325,0.2877327247860468,0.2932815512220745,0.005548826436027711,2180.787293260284,5342.652458993299,5415:1625.470; 334:1364.715; 23:668.894; 511:436.482; 42:318.859,514:5342.652
5,historical,2019,2023,0.3546476185876042,0.3569160404631357,0.002268421875531501,0.30651299567222745,0.3003030709777531,0.2104969745453325,0.21363355632866013,0.2932815512220744,0.29883893679947343,0.005557385577399054,2184.151187762783,5350.893574158962,5415:1627.977; 334:1366.820; 23:669.926; 511:437.155; 42:319.350,514:5350.894
6,historical,2019,2023,0.3569160404631357,0.3591625769209642,0.0022465364578285185,0.3003030709777531,0.29427515444027513,0.21363355632866013,0.21674984647883974,0.2988389367994734,0.3044044486360672,0.005565511836593793,2187.3449518853504,5358.717891457403,5415:1630.358; 334:1368.818; 23:670.906; 511:437.794; 42:319.817,514:5358.718
7,historical,2019,2023,0.3591625769209642,0.36138738353278776,0.00222480661182356,0.29427515444027513,0.2884246720833947,0.21674984647883974,0.21984579247016953,0.3044044486360672,0.30997765490861584,0.005573206272548675,2190.369001808881,5366.1264304790675,5415:1632.612; 334:1370.711; 23:671.833; 511:438.400; 42:320.260,514:5366.126
8,historical,2019,2023,0.36138738353278776,0.3635838871372674,0.0021965036044796493,0.2884246720833947,0.282747599735195,0.21984579247016953,0.22292134769922833,0.3099776549086159,0.3155581249634436,0.005580470054827697,2193.2237971926984,5373.120317331037,5415:1634.740; 334:1372.497; 23:672.709; 511:438.971; 42:320.677,514:5373.120
9,historical,2019,2023,0.3635838871372674,0.3649326331697196,0.0013487460324521638,0.282747599735195,0.27725323544928043,0.22292134769922833,0.2259762935887552,0.31555812496344354,0.3211451030358515,0.005586978072407959,2195.7815636333094,5379.386520919848,5415:1636.646; 334:1374.098; 23:673.493; 511:439.483; 42:321.051,514:5379.387
10,historical,2019,2023,0.3649326331697196,0.3662607282947589,0.0013280951250393414,0.27725323544928043,0.2719023304960033,0.2259762935887552,0.2289888224446599,0.32114510303585136,0.3266978638205883,0.005552760784736936,2182.333562146333,5346.440621778291,5415:1626.623; 334:1365.682; 23:669.369; 511:436.791; 42:319.085,514:5346.441
11,historical,2019,2023,0.3662607282947589,0.36756854428848257,0.0013078159937236489,0.2719023304960033,0.26669091797837136,0.2289888224446599,0.23195957919637175,0.3266978638205883,0.3322162873264283,0.0055184235058399495,2168.838401977478,5313.379189843383,5415:1616.564; 334:1357.237; 23:665.229; 511:434.090; 42:317.111,514:5313.379
