iteration,technology_mode,source_year,destination_year,mean_harmony_before,mean_harmony_after,objective_before,objective_after,gain,cv_before,cv_after,destination_harmony_before,destination_harmony_after,current_worst_fulfillment,desired_worst_fulfillment,step,investment_at_source_real_musd,top_capital_sources,top_capacity_destinations
1,frozen,2019,2023,0.3376169333058251,0.34118814991393515,1.6880846665291256,1.7059407495696757,0.017856083040550086,0.3711503740691654,0.3473306184628791,0.14473410326414587,0.16259020038856598,0.18614972746859235,0.279779913596982,0.25,52769.99671544589,5415:14044.307; 333:11836.037; 334:8707.543; 23:7743.509; 42:2737.945,334:33398.774; 5415:19371.222
2,frozen,2019,2023,0.34118814991393515,0.3449261710893392,1.7059407495696757,1.724630855446696,0.018690105877020358,0.3473306184628791,0.3234143333944692,0.16259020038856598,0.18128032876846556,0.2135743103441234,0.3159525273183308,0.2875,83486.66028267439,333:24368.248; 5415:18072.492; 23:13100.429; 334:11590.480; 42:4397.233,334:69864.946; 5415:13621.715
3,frozen,2019,2023,0.3449261710893392,0.35348865324226997,1.724630855446696,1.76744326621135,0.04281241076465392,0.3234143333944692,0.29093517550890474,0.18128032876846556,0.2006190761489547,0.24356121961178492,0.3545318047491395,0.33062499999999995,120146.78811279056,5415:28602.772; 333:27240.263; 334:20138.468; 23:17913.198; 42:6536.777,334:75728.550; 514:29725.129; 5415:14693.109
4,frozen,2019,2023,0.35348865324226997,0.3605279075954162,1.76744326621135,1.802639537977081,0.035196271765731035,0.29093517550890474,0.26239908430606007,0.2006190761489547,0.22112918738719922,0.27606486116870527,0.3997784334008488,0.3802187499999999,148200.47963683575,333:35049.895; 5415:34168.303; 334:24388.436; 23:21793.476; 42:8257.219,334:84424.619; 514:37224.026; 5415:16635.796; 3361MV:9916.038
5,frozen,2019,2023,0.3605279075954162,0.3689251368132343,1.802639537977081,1.8446256840661714,0.04198614608909046,0.26239908430606007,0.23567779634463445,0.22112918738719922,0.23901132991587415,0.3123009646618275,0.4469166964851752,0.43725156249999986,227805.46649417983,333:54510.022; 5415:46167.438; 334:37539.694; 23:32254.607; 42:14089.141,334:91864.471; 514:38967.615; 3361MV:30683.086; 511:19581.065; 5415:17862.525
6,frozen,2020,2023,0.3689251368132343,0.37791478389908106,1.8446256840661714,1.8895739194954053,0.044948235429233874,0.23567779634463445,0.20945148716638667,0.23901132991587415,0.25784402269563844,0.34548801216501307,0.4942729356656649,0.5,248788.42090431735,333:58344.114; 5415:44772.613; 334:40706.281; 23:34959.271; 42:16461.135,334:70053.613; 514:28998.566; 511:25806.052; 3361MV:24647.826; 333:22772.619
7,frozen,2020,2023,0.37791478389908106,0.38259649635708304,1.8895739194954053,1.912982481785415,0.02340856229000976,0.20945148716638667,0.18891899573745954,0.25784402269563844,0.2750910266907591,0.38216821482108065,0.5252073525300245,0.5,243416.60066389255,333:59189.708; 5415:39641.903; 23:37995.731; 334:35785.925; 42:15383.673,334:65663.202; 333:21893.184; 3361MV:20650.709; 514:19825.542; 511:19533.315
8,frozen,2020,2023,0.38259649635708304,0.3895160044218053,1.912982481785415,1.9475800221090265,0.0345975403236114,0.18891899573745954,0.16889223709412213,0.2750910266907591,0.29032330340451196,0.4174318990403061,0.5495434177071483,0.5,287085.4783111406,333:55106.583; 23:53853.732; 334:38377.488; 5415:37113.445; 3361MV:30900.834,334:60157.765; GFGN:38595.652; 521CI:22082.125; 532RL:20514.160; 333:20220.632
9,frozen,2021,2023,0.3895160044218053,0.3942800420354552,1.9475800221090265,1.9714002101772758,0.02382018806824937,0.16889223709412213,0.151924612152697,0.29032330340451196,0.30425796672689714,0.450001578573735,0.5759253081664988,0.5,306396.24149461184,23:59212.900; 333:52214.048; 334:42496.556; 5415:37966.395; 3361MV:36160.968,334:46368.493; GFGN:36409.987; 521CI:32611.652; 42:25366.943; 532RL:18883.706
10,frozen,2021,2023,0.3942800420354552,0.39741506488535394,1.9714002101772758,1.9870753244267698,0.01567511424949397,0.151924612152697,0.14267718470177343,0.30425796672689714,0.31198421806483856,0.4810457718431565,0.5985332507248355,0.5,320408.1062539376,23:66502.863; 333:55694.380; 334:43671.014; 5415:36333.104; 3361MV:35926.447,334:43075.873; GFGN:31404.357; 521CI:28244.506; 4A0:24771.154; 42:22326.485
