year,gross_wmape,gross_corr,gross_aggregate_ratio,stock_wmape,stock_corr,stock_aggregate_ratio,investment_wmape,investment_corr,investment_aggregate_ratio,import_required_sum,import_cap_sum,inventory_net_change_sum
2019,0.21460411362441437,0.9515665427856275,0.7853958863755856,0.06567954386644786,0.9998555497474568,0.9429332056693034,0.9428997160085048,0.08412487007140647,0.1811269199332727,1293178.0802972913,1639424.2929023218,0.0
2020,0.25482425413702603,0.9464898901762857,0.7478560063347094,0.11752300704817895,0.9996639667857773,0.8927166976735124,0.8803602501071368,0.06771916704661977,0.19367080814305193,1188706.460676727,1523178.5863490535,0.0
2021,0.3038771481468327,0.9549392777497548,0.7035892567189366,0.15971406321397544,0.9994577510557638,0.8526581334545957,0.7782590801402095,0.11413519645143581,0.29172385493080416,1225879.9918962463,1613392.8317733733,0.0
2022,0.3307698760930474,0.9486883074109916,0.6692301239069524,0.2021331549875014,0.9992463329676565,0.8065079827006663,0.8390394927009314,0.1394037423214301,0.16378779760080772,1158272.238012383,1644063.8819043897,0.0
2023,0.39813770096616924,0.970146630429177,0.6155364574632914,0.22071212101450896,0.9990984949721129,0.7873808877672885,0.5188539177708933,0.9514681648161953,0.4936955217465203,1193215.6808394566,1686824.1976389918,0.0
