year,bea_code,sector_name,required_imported_intermediate_real,import_cap_real,slack_real,required_over_cap
2020,483,Water transportation,0.0,0.0,0.0,0.0
2020,484,Truck transportation,0.0,0.0,0.0,0.0
2020,485,Transit and ground passenger transportation,0.0,0.0,0.0,0.0
2020,486,Pipeline transportation,0.0,0.0,0.0,0.0
2020,487OS,Other transportation and support activities,24.831854254702023,30.783958162514065,5.952103907812042,0.8066491684925696
2020,493,Warehousing and storage,0.0,0.0,0.0,0.0
2020,511,"Publishing industries, except internet (includes software)",3014.3599647886385,4056.45455489807,1042.0945901094315,0.7431021163909928
2020,512,Motion picture and sound recording industries,7881.938707350644,12029.38861363897,4147.449906288326,0.655223549633609
2020,513,Broadcasting and telecommunications,79.43711269360973,103.5400442960588,24.10293160244906,0.7672114999919261
2020,514,"Data processing, internet publishing, and other information services",889.7886492088978,1230.0289584003756,340.24030919147776,0.7233883748282215
2020,521CI,"Federal Reserve banks, credit intermediation, and related activities",3547.4652669371544,4695.660995388282,1148.1957284511273,0.7554772949795999
2020,523,"Securities, commodity contracts, and investments",37.21845574645199,45.39836458657528,8.179908840123296,0.8198193059460522
2020,524,Insurance carriers and related activities,44436.95653723439,57710.655839224375,13273.699301989982,0.7699956947471006
2020,525,"Funds, trusts, and other financial vehicles",0.0,0.0,0.0,0.0
2020,HS,Housing,0.0,0.0,0.0,0.0
2020,ORE,Other real estate,0.0,0.0,0.0,0.0
2020,532RL,Rental and leasing services and lessors of intangible assets,0.0,0.0,0.0,0.0
2020,5411,Legal services,2158.0336121182436,2899.2220085851986,741.188396466955,0.744349210142534
2020,5415,Computer systems design and related services,14687.997753259038,19853.534040735896,5165.536287476858,0.7398177938054705
2020,5412OP,"Miscellaneous professional, scientific, and technical services",38294.598736586886,51886.23933892021,13591.640602333326,0.7380492250834964
2020,55,Management of companies and enterprises,0.0,0.0,0.0,0.0
2020,561,Administrative and support services,1667.84007342314,2254.0645420719725,586.2244686488325,0.7399256065179192
2020,562,Waste management and remediation services,209.12492643947428,266.81156848371677,57.68664204424249,0.7837925755165933
2020,61,Educational services,205.8279319507251,245.37582298503435,39.54789103430926,0.8388272709462443
2020,621,Ambulatory health care services,4.603475120069265,5.419090042349055,0.8156149222797895,0.8494922734433402
2020,622,Hospitals,0.0,0.0,0.0,0.0
2020,623,Nursing and residential care facilities,0.9903536821832751,1.1746981876388607,0.18434450545558556,0.8430707500910363
2020,624,Social assistance,0.0,0.0,0.0,0.0
2020,711AS,"Performing arts, spectator sports, museums, and related activities",265.6781267082574,371.9391189573327,106.26099224907529,0.7143054149642563
2020,713,"Amusements, gambling, and recreation industries",0.0,0.0,0.0,0.0
2020,721,Accommodation,0.0,0.0,0.0,0.0
2020,722,Food services and drinking places,0.0,0.0,0.0,0.0
2020,81,"Other services, except government",2913.3019279371897,3975.666739753878,1062.3648118166884,0.7327832332640496
2020,GFGD,Federal general government (defense),0.0,0.0,0.0,0.0
2020,GFGN,Federal general government (nondefense),0.0,0.0,0.0,0.0
2020,GFE,Federal government enterprises,203.38969659858986,259.6991736489111,56.30947705032122,0.7831742155389129
2020,GSLG,State and local general government,0.0,0.0,0.0,0.0
2020,GSLE,State and local government enterprises,0.0,0.0,0.0,0.0
2021,111CA,Farms,14391.349840895266,18275.99446968384,3884.6446287885738,0.7874455130071083
