year,bea_code,sector_name,target,net_social_output,fulfillment,harmony
2020,23,Construction,136.50658898399502,118.56912107486278,0.868596321667408,0.44122622403952466
2020,321,Wood products,0.0,5.002220859751105e-12,nan,nan
2020,327,Nonmetallic mineral products,1699.6224799143226,1476.2858342773743,0.8685963216677349,0.44122622403961753
2020,331,Primary metals,0.0,-1.2505552149377763e-12,nan,nan
2020,332,Fabricated metal products,0.0,1.546140993013978e-11,nan,nan
2020,333,Machinery,64793.70938885788,56279.5776423701,0.8685963216677344,0.4412262240396173
2020,334,Computer and electronic products,59271.38999809556,51482.911332479576,0.8685963216677349,0.44122622403961753
2020,335,"Electrical equipment, appliances, and components",7042.790472971638,6117.341899099734,0.8685963216677353,0.4412262240396176
2020,3361MV,"Motor vehicles, bodies and trailers, and parts",188775.71177524456,163969.88886818584,0.8685963216677344,0.4412262240396173
2020,3364OT,Other transportation equipment,89468.61985695972,77712.11411244393,0.8685963216677333,0.44122622403961703
2020,337,Furniture and related products,31590.98716825894,27439.815252202297,0.8685963216677339,0.4412262240396172
2020,339,Miscellaneous manufacturing,66989.90065994207,58187.181302112556,0.8685963216677336,0.44122622403961714
2020,311FT,Food and beverage and tobacco products,620218.3328306206,538719.3625275713,0.8685963216677337,0.44122622403961714
2020,313TT,Textile mills and textile product mills,0.0,-3.183231456205249e-12,nan,nan
2020,315AL,Apparel and leather and allied products,8135.474537236426,7066.443258065066,0.8685963216677336,0.44122622403961714
2020,322,Paper products,17946.2687227912,15588.063000277109,0.8685963216677324,0.44122622403961675
2020,323,Printing and related support activities,2789.2026800971994,2422.6911883182192,0.8685963216677364,0.44122622403961786
2020,324,Petroleum and coal products,177062.09927972162,153795.48814113304,0.8685963216677324,0.44122622403961675
2020,325,Chemical products,221833.01647776595,192683.34213704546,0.8685963216677346,0.44122622403961737
2020,326,Plastics and rubber products,5433.178582163566,4719.238931431175,0.8685963216677317,0.4412262240396166
2020,42,Wholesale trade,1164561.192133439,1011533.567844096,0.8685963216677337,0.44122622403961714
2020,441,Motor vehicle and parts dealers,55246.16334324161,47986.61426619446,0.8685963216677339,0.4412262240396172
2020,445,Food and beverage stores,22533.60140168488,19572.60329143037,0.8685963216677335,0.4412262240396171
2020,452,General merchandise stores,14479.91030863095,12577.196832155543,0.8685963216677338,0.44122622403961714
2020,4A0,Other retail,980128.578293129,851336.0778668373,0.8685963216677338,0.44122622403961714
2020,481,Air transportation,80810.01290893667,70191.2799666245,0.868596321667734,0.44122622403961725
2020,482,Rail transportation,23321.183315019716,20256.694044365056,0.868596321667734,0.44122622403961725
2020,483,Water transportation,31093.27364583101,27007.503117377106,0.8685963216677339,0.4412262240396172
2020,484,Truck transportation,179461.9581709444,155879.99674657092,0.8685963216677334,0.44122622403961703
2020,485,Transit and ground passenger transportation,30724.104312171763,26686.843992088136,0.8685963216677333,0.44122622403961703
2020,486,Pipeline transportation,11031.943995044989,9582.30597494053,0.8685963216677345,0.44122622403961737
2020,487OS,Other transportation and support activities,30843.164335509606,26790.259090417054,0.868596321667733,0.4412262240396169
2020,493,Warehousing and storage,0.0,-4.18367562815547e-11,nan,nan
2020,511,"Publishing industries, except internet (includes software)",170330.32262391082,147948.29169960725,0.8685963216677334,0.44122622403961703
2020,512,Motion picture and sound recording industries,24071.369958216535,20908.30340321006,0.8685963216677332,0.441226224039617
2020,513,Broadcasting and telecommunications,385759.0873286867,335068.9243035994,0.8685963216677338,0.44122622403961714
