year,initial_harmony,final_harmony,initial_fulfillment,final_fulfillment,final_production_scale,capital_constraint,labour_constraint,import_constraint
2019,0.4764792512852601,0.45556479605147315,1.0011583642110369,0.9204424549004707,0.9204424549005465,0.9204424549005465,1.2003095922467257,1.0280500071917453
2020,0.41107017502908555,0.44122622403952466,0.7677946902321103,0.868596321667408,0.8685963216677335,0.8685963216677335,1.1968791210891474,0.9753413875423885
2021,0.3470878499124828,0.41963464511021575,0.5847595803701227,0.7953577961401543,0.7953577961401583,0.7953577961401583,1.187598678316602,0.8321013641030145
2022,0.3087132870381512,0.4196346401701375,0.49123556025979564,0.7953577800068418,0.7953577800068715,0.7953577800068715,1.2300813000617847,0.9397591563037575
2023,0.14473410326414587,0.36211299176724443,0.18614972746859235,0.6244433352664022,0.6244433352664155,0.6276841903828465,1.1220289440784617,0.6244433352664155
