year,bea_code,sector_name,target,net_social_output,fulfillment,harmony
2020,211,Oil and gas extraction,0.0,-3.2741809263825417e-11,nan,nan
2020,212,"Mining, except oil and gas",24242.855248221444,21193.40193215829,0.8742122870907759,0.44281574621289893
2020,213,Support activities for mining,2070.572005914649,1810.1194888767832,0.8742122870907771,0.4428157462128993
2020,22,Utilities,225569.38548281262,197195.5283805905,0.8742122870907759,0.44281574621289893
2020,23,Construction,136.50658898399502,119.33573735854588,0.8742122870899487,0.4428157462126655
2020,321,Wood products,0.0,6.59383658785373e-12,nan,nan
2020,327,Nonmetallic mineral products,1699.6224799143226,1485.8308553567908,0.8742122870907727,0.44281574621289804
2020,331,Primary metals,0.0,3.8539837987627834e-11,nan,nan
2020,332,Fabricated metal products,0.0,6.275513442233205e-11,nan,nan
2020,333,Machinery,64793.70938885788,56643.456873928575,0.8742122870907766,0.4428157462128992
2020,334,Computer and electronic products,59271.38999809556,51815.77740928449,0.8742122870907765,0.44281574621289915
2020,335,"Electrical equipment, appliances, and components",7042.790472971638,6156.893966877664,0.874212287090776,0.442815746212899
2020,3361MV,"Motor vehicles, bodies and trailers, and parts",188775.71177524456,165030.04673822562,0.8742122870907757,0.44281574621289893
2020,3364OT,Other transportation equipment,89468.61985695972,78214.56678800793,0.8742122870907755,0.4428157462128988
2020,337,Furniture and related products,31590.98716825894,27617.229143818997,0.8742122870907757,0.44281574621289893
2020,339,Miscellaneous manufacturing,66989.90065994207,58563.39426791184,0.874212287090776,0.442815746212899
2020,311FT,Food and beverage and tobacco products,620218.3328306206,542202.4872394844,0.8742122870907751,0.44281574621289876
2020,313TT,Textile mills and textile product mills,0.0,-6.139089236967266e-12,nan,nan
2020,315AL,Apparel and leather and allied products,8135.474537236426,7112.131801766226,0.8742122870907757,0.44281574621289893
2020,322,Paper products,17946.2687227912,15688.848624896951,0.8742122870907758,0.44281574621289893
2020,323,Printing and related support activities,2789.2026800971994,2438.355254127493,0.8742122870907754,0.4428157462128988
2020,324,Petroleum and coal products,177062.09927972162,154789.86276841932,0.8742122870907751,0.44281574621289876
2020,325,Chemical products,221833.01647776595,193929.1486872734,0.8742122870907753,0.4428157462128988
2020,326,Plastics and rubber products,5433.178582163566,4749.751474485854,0.8742122870907802,0.4428157462129002
2020,42,Wholesale trade,1164561.192133439,1018073.7032321332,0.874212287090775,0.4428157462128987
2020,441,Motor vehicle and parts dealers,55246.16334324161,48296.87480928583,0.8742122870907758,0.44281574621289893
2020,445,Food and beverage stores,22533.60140168488,19699.151217758856,0.8742122870907761,0.44281574621289904
2020,452,General merchandise stores,14479.91030863095,12658.51550777756,0.8742122870907755,0.4428157462128988
2020,4A0,Other retail,980128.578293129,856840.4460726666,0.8742122870907756,0.4428157462128989
2020,481,Air transportation,80810.01290893667,70645.1062049566,0.8742122870907753,0.4428157462128988
2020,482,Rail transportation,23321.183315019716,20387.66500348662,0.8742122870907756,0.4428157462128989
2020,483,Water transportation,31093.27364583101,27182.121867061283,0.8742122870907761,0.44281574621289904
2020,484,Truck transportation,179461.9581709444,156887.8488984104,0.8742122870907756,0.4428157462128989
2020,485,Transit and ground passenger transportation,30724.104312171763,26859.38949955922,0.874212287090775,0.4428157462128987
2020,486,Pipeline transportation,11031.943995044989,9644.260990965602,0.8742122870907733,0.4428157462128982
2020,487OS,Other transportation and support activities,30843.164335509606,26963.473234862515,0.8742122870907763,0.44281574621289904
2020,493,Warehousing and storage,0.0,-1.4551915228366852e-11,nan,nan
2020,511,"Publishing industries, except internet (includes software)",170330.32262391082,148904.86090195875,0.8742122870907756,0.4428157462128989
2020,512,Motion picture and sound recording industries,24071.369958216535,21043.487384580658,0.8742122870907753,0.4428157462128988
2020,513,Broadcasting and telecommunications,385759.0873286867,337235.3339996614,0.8742122870907754,0.4428157462128988
2020,514,"Data processing, internet publishing, and other information services",97606.43675197252,85328.74630772298,0.874212287090775,0.4428157462128987
2020,521CI,"Federal Reserve banks, credit intermediation, and related activities",398361.29293360474,348252.3369839252,0.874212287090776,0.442815746212899
2020,523,"Securities, commodity contracts, and investments",345495.0509895259,302036.0187040975,0.8742122870907754,0.4428157462128988
2020,524,Insurance carriers and related activities,383759.65188175323,335487.4029647076,0.8742122870907761,0.44281574621289904
2020,525,"Funds, trusts, and other financial vehicles",137222.00549710525,119961.1632648074,0.8742122870907759,0.44281574621289893
2020,HS,Housing,2258848.2910708096,1974712.9307281023,0.8742122870907756,0.4428157462128989
2020,ORE,Other real estate,9782.550784964456,8552.026095305311,0.8742122870907625,0.44281574621289516
2020,532RL,Rental and leasing services and lessors of intangible assets,136332.1871630381,119183.27314388714,0.8742122870907751,0.44281574621289876
2020,5411,Legal services,118738.02503878478,103802.24043379784,0.8742122870907757,0.44281574621289893
2020,5415,Computer systems design and related services,54367.27555289984,47528.54030399496,0.8742122870907753,0.4428157462128988
2020,5412OP,"Miscellaneous professional, scientific, and technical services",114429.58902507699,100035.75273246983,0.8742122870907735,0.4428157462128983
2020,55,Management of companies and enterprises,26839.993559273826,23463.85215495462,0.8742122870907817,0.4428157462129006
2020,561,Administrative and support services,86247.14087392701,75398.31027843617,0.874212287090777,0.4428157462128993
2020,562,Waste management and remediation services,19221.729519573422,16803.872125146558,0.8742122870907757,0.44281574621289893
2020,61,Educational services,300763.86014854244,262931.4620547075,0.8742122870907758,0.44281574621289893
2020,621,Ambulatory health care services,1049513.51653244,917497.611620507,0.8742122870907757,0.44281574621289893
2020,622,Hospitals,892542.8677766563,780271.9417655902,0.8742122870907754,0.4428157462128988
2020,623,Nursing and residential care facilities,244851.63653591883,214052.30917398492,0.8742122870907756,0.4428157462128989
2020,624,Social assistance,244626.0102665775,213855.0639170363,0.8742122870907758,0.44281574621289893
2020,711AS,"Performing arts, spectator sports, museums, and related activities",63265.18317917497,55307.20048028341,0.8742122870907755,0.4428157462128988
2020,713,"Amusements, gambling, and recreation industries",113965.30705439002,99629.87172902079,0.8742122870907755,0.4428157462128988
2020,721,Accommodation,140520.16535189707,122844.45513465595,0.8742122870907759,0.44281574621289893
2020,722,Food services and drinking places,586124.9982212425,512397.675216069,0.8742122870907754,0.4428157462128988
2020,81,"Other services, except government",460243.5542819984,402350.5702076532,0.8742122870907753,0.4428157462128988
2020,GFGD,Federal general government (defense),696859.6273376826,609203.2485961011,0.8742122870907756,0.4428157462128989
2020,GFGN,Federal general government (nondefense),352860.79955065646,308475.24659985927,0.874212287090776,0.442815746212899
2020,GFE,Federal government enterprises,19230.653759121276,16811.67380501223,0.8742122870907755,0.4428157462128988
2020,GSLG,State and local general government,2388925.492948222,2088428.0188797235,0.8742122870907756,0.4428157462128989
2020,GSLE,State and local government enterprises,177321.29219663446,155016.45240111154,0.8742122870907758,0.44281574621289893
2021,111CA,Farms,85598.43300847213,67668.41923188602,0.7905333877454102,0.41815362419395036
2021,113FF,"Forestry, fishing, and related activities",0.0,-1.4097167877480388e-11,nan,nan
2021,211,Oil and gas extraction,0.0,-4.3655745685100555e-11,nan,nan
2021,212,"Mining, except oil and gas",23002.598751832807,18184.32231823473,0.7905333877454099,0.4181536241939503
2021,213,Support activities for mining,1741.1936186322393,1376.4716900580243,0.7905333877454046,0.4181536241939487
2021,22,Utilities,208599.91659963844,164905.19875292224,0.7905333877454104,0.41815362419395047
2021,23,Construction,127.4487261981493,100.752473285218,0.7905333877450792,0.41815362419384855
2021,321,Wood products,0.0,-2.9103830456733704e-11,nan,nan
2021,327,Nonmetallic mineral products,0.0,-9.549694368615746e-12,nan,nan
2021,331,Primary metals,0.0,6.059508450562134e-11,nan,nan
2021,332,Fabricated metal products,0.0,-4.638422979041934e-11,nan,nan
2021,333,Machinery,67924.9122030807,53696.91095621072,0.7905333877454069,0.4181536241939494
2021,334,Computer and electronic products,51841.24887940555,40982.238101589464,0.790533387745411,0.41815362419395063
2021,335,"Electrical equipment, appliances, and components",1549.1922668560912,1224.6882109867583,0.7905333877454237,0.4181536241939546
2021,3361MV,"Motor vehicles, bodies and trailers, and parts",214258.33908654714,169378.3706507929,0.7905333877454099,0.4181536241939503
2021,3364OT,Other transportation equipment,88548.49849262308,70000.54449314263,0.7905333877454097,0.41815362419395025
2021,337,Furniture and related products,31181.066131739208,24649.673842637458,0.7905333877454098,0.41815362419395025
2021,339,Miscellaneous manufacturing,65747.01526355105,51975.2107104442,0.7905333877454102,0.41815362419395036
2021,311FT,Food and beverage and tobacco products,592644.7307775865,468505.44675107184,0.7905333877454099,0.4181536241939503
2021,313TT,Textile mills and textile product mills,0.0,-5.9117155615240335e-12,nan,nan
2021,315AL,Apparel and leather and allied products,11437.845970579376,9041.999123632306,0.7905333877454104,0.41815362419395047
2021,322,Paper products,13954.659617460517,11031.62434222513,0.79053338774541,0.41815362419395036
2021,323,Printing and related support activities,3468.4292180819702,2741.9090999254695,0.7905333877454003,0.41815362419394736
2021,324,Petroleum and coal products,189582.24114366743,149871.09134767082,0.7905333877454108,0.4181536241939506
2021,325,Chemical products,177699.7853595609,140477.61332192586,0.7905333877454099,0.4181536241939503
2021,326,Plastics and rubber products,1658.3929191157265,1311.0149725615556,0.7905333877454104,0.41815362419395047
2021,42,Wholesale trade,1275912.2625755926,1008651.2433997944,0.79053338774541,0.41815362419395036
2021,441,Motor vehicle and parts dealers,50789.020495029035,40150.416432206366,0.79053338774541,0.41815362419395036
2021,445,Food and beverage stores,23504.66487839251,18581.222354136185,0.79053338774541,0.41815362419395036
2021,452,General merchandise stores,15471.655874769132,12230.860532712417,0.7905333877454099,0.4181536241939503
2021,4A0,Other retail,1137530.9518761416,899256.1970519074,0.7905333877454103,0.4181536241939504
2021,481,Air transportation,142026.45821774765,112276.657164358,0.7905333877454102,0.41815362419395036
2021,482,Rail transportation,25691.010654749978,20309.601687502956,0.7905333877454113,0.41815362419395075
2021,483,Water transportation,28724.38382644451,22707.584457218647,0.7905333877454102,0.41815362419395036
2021,484,Truck transportation,187696.8406692418,148380.61932336626,0.7905333877454105,0.4181536241939505
2021,485,Transit and ground passenger transportation,35899.89599197324,28380.066398242456,0.7905333877454096,0.41815362419395025
2021,486,Pipeline transportation,10192.886152271927,8057.816820858799,0.7905333877454095,0.4181536241939502
2021,487OS,Other transportation and support activities,34847.51116029255,27548.12105204209,0.790533387745411,0.41815362419395063
2021,493,Warehousing and storage,0.0,1.6370904631912708e-11,nan,nan
2021,511,"Publishing industries, except internet (includes software)",190564.95274774398,150647.95768121822,0.790533387745411,0.41815362419395063
2021,512,Motion picture and sound recording industries,29491.02073658915,23313.636530965945,0.7905333877454096,0.41815362419395025
2021,513,Broadcasting and telecommunications,403763.08715478744,319188.2011350193,0.7905333877454099,0.4181536241939503
2021,514,"Data processing, internet publishing, and other information services",120315.97756466099,95113.79734409209,0.7905333877454092,0.4181536241939501
2021,521CI,"Federal Reserve banks, credit intermediation, and related activities",406460.8255571743,321320.85341350915,0.79053338774541,0.41815362419395036
2021,523,"Securities, commodity contracts, and investments",358220.42410571076,283185.2054278852,0.7905333877454103,0.4181536241939504
