iteration,technology_mode,source_year,destination_year,mean_harmony_before,mean_harmony_after,objective_before,objective_after,gain,cv_before,cv_after,destination_harmony_before,destination_harmony_after,current_worst_fulfillment,desired_worst_fulfillment,step,investment_at_source_real_musd,top_capital_sources,top_capacity_destinations
49,historical,2019,2021,0.4169228298401448,0.41692287880211776,2.084614149200724,2.084614394010589,2.448098648244468e-07,0.09561909490979759,0.09561908083432646,0.4169225485530724,0.41692268919625153,0.7865418260821281,0.7865422811332381,0.5,0.849557677230407,23:0.314; 5412OP:0.254; 333:0.124; 334:0.036; 511:0.029,GFGN:0.594; 3361MV:0.108; 331:0.084; 333:0.063
50,historical,2019,2021,0.41692287880211776,0.41692291180565955,2.084614394010589,2.0846145590282976,1.650177088308169e-07,0.09561908083432646,0.095619071346908,0.41692268919625153,0.41692278399894667,0.786542281131973,0.7865425878662542,0.5,0.5726555869501533,23:0.211; 5412OP:0.171; 333:0.084; 334:0.024; 511:0.019,GFGN:0.401; 3361MV:0.073; 331:0.057; 333:0.042
51,historical,2019,2021,0.41692291180565955,0.4169229340521525,2.0846145590282976,2.0846146702607626,1.1123246501654194e-07,0.095619071346908,0.09561906495190775,0.41692278399894667,0.4169228479019498,0.7865425878654344,0.786542794624379,0.5,0.38600733902468454,23:0.142; 5412OP:0.115; 333:0.056; 334:0.016; 511:0.013,GFGN:0.270; 3361MV:0.049; 331:0.038; 333:0.029
52,historical,2019,2021,0.4169229340521525,0.41692294904767807,2.0846146702607626,2.0846147452383903,7.497762766206506e-08,0.09561906495190775,0.09561906064132103,0.4169228479019498,0.41692289097658647,0.7865427946232133,0.7865429339924783,0.5,0.26019344735448374,23:0.096; 5412OP:0.078; 333:0.038; 334:0.011; 511:0.009,GFGN:0.182; 3361MV:0.033; 331:0.026; 333:0.019
53,historical,2019,2021,0.41692294904767807,0.41692295915568633,2.0846147452383903,2.084614795778432,5.054004148519198e-08,0.09561906064132103,0.09561905773573627,0.41692289097658647,0.41692292001197623,0.7865429339909644,0.7865430279353303,0.5,0.17538672422080892,23:0.065; 5412OP:0.052; 333:0.026; 334:0.007; 511:0.006,GFGN:0.123; 3361MV:0.022; 331:0.017; 333:0.013
54,historical,2019,2021,0.41692295915568633,0.41692296596903516,2.084614795778432,2.084614829845176,3.406674409234256e-08,0.09561905773573627,0.09561905577715801,0.41692292001197623,0.41692293958331933,0.7865430279348207,0.7865430912594658,0.5,0.11822307375739197,23:0.044; 5412OP:0.035; 333:0.017; 334:0.005; 511:0.004,GFGN:0.083; 3361MV:0.015; 331:0.012; 333:0.009
55,historical,2019,2021,0.41692296596903516,0.4169229705617662,2.084614829845176,2.084614852808831,2.2963654977559145e-08,0.09561905577715801,0.09561905445704372,0.41692293958331933,0.4169229527758964,0.7865430912578072,0.786543133943239,0.5,0.07968852387013214,23:0.029; 5412OP:0.024; 333:0.012; 334:0.003; 511:0.003,GFGN:0.056; 3361MV:0.010; 331:0.008; 333:0.006
56,historical,2019,2021,0.4169229705617662,0.4169229736575913,2.084614852808831,2.0846148682879564,1.547912553689912e-08,0.09561905445704372,0.095619053567144,0.4169229527758964,0.4169229616687461,0.7865431339423294,0.7865431627153807,0.5,0.05371618590721165,23:0.020; 5412OP:0.016; 333:0.008; 334:0.002; 511:0.002,GFGN:0.038; 3361MV:0.007; 331:0.005; 333:0.004
57,historical,2019,2021,0.4169229736575913,0.41692297574431086,2.0846148682879564,2.0846148787215544,1.0433597985581855e-08,0.095619053567144,0.09561905296723057,0.4169229616687461,0.416922967662927,0.7865431627151046,0.7865431821100326,0.5,0.03620886914519424,23:0.013; 5412OP:0.011; 333:0.005; 334:0.002; 511:0.001,GFGN:0.025; 3361MV:0.005; 331:0.004; 333:0.003
58,historical,2022,2023,0.41692297574431086,0.4173697567086073,2.0846148787215544,2.0868487835430365,0.0022339048214821133,0.09561905296723057,0.09347705419775362,0.35695049181232785,0.3592295475431189,0.6105992400183412,0.6545852320778891,0.25,2271.0342563110503,3361MV:1040.581; 333:461.247; 42:178.336; 334:134.641; 4A0:82.807,23:2271.034
