year,gross_wmape,gross_corr,gross_aggregate_ratio,stock_wmape,stock_corr,stock_aggregate_ratio,investment_wmape,investment_corr,investment_aggregate_ratio,import_required_sum,import_cap_sum,inventory_net_change_sum
2019,0.20426823546703826,0.9492647639480573,0.7957317645329618,0.06672094021389742,0.999855627907076,0.9423091234565366,0.957877401428424,0.08340990938748502,0.17214283023348662,1306961.2490368574,1639424.2929023218,0.0
2020,0.24876610027678472,0.9487806624034132,0.7539470264779425,0.11524246908790052,0.9996977829431225,0.8938550730813172,0.8565154818416575,0.09101200174388194,0.21943301661106082,1180624.242072263,1526979.0787040177,0.0
2021,0.3046555019806676,0.9530855463812301,0.7023952071545824,0.1612474807286857,0.9994106352990851,0.8518389861581409,0.8432645742268877,0.09394052205994798,0.26690229972310864,1276709.7933151857,1702864.5578685158,0.0
2022,0.3309482144307764,0.956083175137414,0.6690955638693488,0.20287741431324868,0.9991936275862239,0.8071931484001672,0.8220540319957325,0.1415588804456903,0.18801891455305397,1247835.000999543,1805750.324363219,0.0
2023,0.3876671927397869,0.9784389110464902,0.6281742504516984,0.2209713954905266,0.9990498249647487,0.7885975383254549,0.5110795346543143,0.9490209890656656,0.5068055100867247,1174214.3601376002,1684193.6325596296,0.0
