technology_mode,planned_investment_5y_real_musd,observed_investment_5y_real_musd,planned_over_observed,investment_gap_real_musd,observed_depreciation_5y_real_musd,observed_depreciation_over_observed_investment,observed_depreciation_over_investment_gap,observed_investment_minus_depreciation_5y_real_musd,planned_over_observed_net_accumulation_proxy,model_endogenous_depreciation_5y_real_musd,initial_stock_real_musd,model_2023_end_stock_real_musd,observed_2023_stock_real_musd,model_stock_change_2018_2023_real_musd,observed_stock_change_2018_2023_real_musd,model_2023_stock_over_observed,final_mean_harmony,final_cv_harmony,capital_transfers
frozen,6349314.926552771,23623354.592799567,0.2687727901475962,17274039.666246794,18510050.138765983,0.7835487574828968,1.0715530643902789,5113304.454033584,1.2417244041754976,16112151.131042656,64244565.838135004,54481729.63364511,69193614.52642632,-9762836.204489894,4949048.688291311,0.7873808877672887,0.4196346594277191,0.0848061798974074,86
historical,6489951.347337122,23623354.592799567,0.2747260691466431,17133403.245462444,18510050.138765983,0.7835487574828968,1.0803487126043174,5113304.454033584,1.2692284227702464,16168603.1020919,64244565.838135004,54565914.083380215,69193614.52642632,-9678651.75475479,4949048.688291311,0.7885975383254547,0.4194880521717638,0.08643638209600185,74
