technology_mode,bea_code,sector_name,planned_investment_5y_real_musd,observed_investment_5y_real_musd,observed_depreciation_5y_real_musd,investment_gap_real_musd,planned_over_observed
frozen,441,Motor vehicle and parts dealers,2074.860098317301,65890.45440366017,64068.32114846068,63815.59430534287,0.031489539981106034
frozen,482,Rail transportation,9648.940626305253,70835.36385542169,69091.66439709201,61186.42322911644,0.13621643344698836
frozen,332,Fabricated metal products,54050.102386839106,108290.16871134646,93843.13088257985,54240.06632450735,0.4991228938881118
frozen,322,Paper products,12879.09781747481,65452.558157668784,61324.109238966514,52573.460340193975,0.1967699686611229
frozen,481,Air transportation,35785.90479505802,85648.87777736006,95258.76500783017,49862.97298230204,0.41782105876602
frozen,326,Plastics and rubber products,28930.83553936848,76477.47895101435,68660.55524516861,47546.64341164587,0.3782922232295258
frozen,623,Nursing and residential care facilities,4244.484591450007,51513.84073833047,34751.15346599037,47269.35614688047,0.08239503268665749
frozen,562,Waste management and remediation services,5259.750539968694,51567.0138195647,41745.955491345536,46307.26327959601,0.10199835418767504
frozen,339,Miscellaneous manufacturing,53829.976421810694,99088.49177398883,85896.82759570365,45258.51535217814,0.543251546754709
frozen,493,Warehousing and storage,3123.7900483718,45602.0264333979,25638.5515908756,42478.2363850261,0.06850112358349071
frozen,327,Nonmetallic mineral products,17800.88154095072,58880.93069605009,55264.861215157856,41080.049155099376,0.3023199757633052
frozen,3361MV,"Motor vehicles, bodies and trailers, and parts",229434.61240845226,261416.72786709983,249424.68623170978,31982.115458647575,0.8776584967626602
frozen,624,Social assistance,4688.109301462865,35171.408221610756,24703.192754161646,30483.298920147892,0.13329319292317385
frozen,483,Water transportation,3713.9701052800847,31998.18156010392,29727.91034274802,28284.211454823835,0.11606816150798861
frozen,525,"Funds, trusts, and other financial vehicles",3177.4332544879226,25507.330874025716,12789.877523223768,22329.897619537795,0.12456941379638917
frozen,5411,Legal services,6765.254687878103,26401.273760152064,28975.577520210383,19636.01907227396,0.2562472837234478
frozen,485,Transit and ground passenger transportation,11476.417171010971,28279.757497581428,30870.898478343865,16803.340326570455,0.4058173826982947
frozen,323,Printing and related support activities,6633.628615104679,19681.618997087444,24621.727540917356,13047.990381982765,0.33704689721340236
frozen,113FF,"Forestry, fishing, and related activities",22477.81122345169,34995.73270571536,36053.8985295207,12517.921482263671,0.6423014889406989
frozen,321,Wood products,16528.797376487073,28117.107728312985,23597.318609298498,11588.310351825912,0.5878555339403962
frozen,335,"Electrical equipment, appliances, and components",41566.629189320054,52237.811354303376,47323.57512079798,10671.182164983322,0.7957191948068815
frozen,313TT,Textile mills and textile product mills,11998.917469561993,14438.577712584816,15468.879119093088,2439.660243022823,0.8310318168737362
frozen,337,Furniture and related products,17184.6652630214,16789.34623423123,14780.997736939687,-395.3190287901707,1.023545826220688
frozen,315AL,Apparel and leather and allied products,13553.92161767247,6096.016720870153,7675.4386406360145,-7457.904896802316,2.2234062402207067
frozen,331,Primary metals,129092.92754511812,75781.26931615733,70007.00583257953,-53311.65822896079,1.7034938674165783
frozen,333,Machinery,212812.17033207064,147380.45165507816,133097.36343017084,-65431.71867699249,1.443964704560179
frozen,334,Computer and electronic products,955379.7459047221,585200.6247412955,569321.9414315632,-370179.12116342667,1.6325678844363416
historical,HS,Housing,378804.25903075666,4428987.548305627,2824834.5278914096,4050183.2892748704,0.08552840912268396
historical,GSLG,State and local general government,159291.63523432525,1691560.8469747705,1226296.425578971,1532269.2117404453,0.09416843356194154
historical,22,Utilities,70028.46053494794,996676.3422517658,572254.7655571103,926647.8817168179,0.07026198733355545
historical,GFGD,Federal general government (defense),107496.84067815723,922814.554262517,860215.0318271586,815317.7135843597,0.11648802046047611
historical,513,Broadcasting and telecommunications,79731.25810937278,873852.7153376061,705095.185562983,794121.4572282333,0.09124107153294046
historical,325,Chemical products,110757.36477812642,854055.7557023331,616926.1072842476,743298.3909242067,0.12968399784045137
historical,514,"Data processing, internet publishing, and other information services",408682.05431086826,1020472.9065441194,630031.3436538177,611790.8522332511,0.4004830032135686
historical,5412OP,"Miscellaneous professional, scientific, and technical services",215844.29398574078,772595.9356752308,563340.9370460048,556751.6416894901,0.2793753940694729
historical,521CI,"Federal Reserve banks, credit intermediation, and related activities",229526.2359379762,773726.3193429938,727376.5646819787,544200.0834050176,0.29665041785430973
historical,622,Hospitals,51396.23702784798,499659.7662332896,388777.5773704838,448263.52920544165,0.10286246862600347
historical,GSLE,State and local government enterprises,39383.97009307691,485215.4870167618,332265.04668415175,445831.51692368486,0.08116799885185114
historical,GFGN,Federal general government (nondefense),359980.04423627997,783534.1807265122,644336.2035058427,423554.13649023225,0.459431194057798
historical,ORE,Other real estate,41676.56005318758,428357.4438983089,327705.4406240992,386680.8838451213,0.0972938853913824
historical,42,Wholesale trade,188772.71396232335,510617.17750069924,421838.5152802295,321844.4635383759,0.36969518903829834
historical,4A0,Other retail,193517.3656164944,484554.15113075846,349146.23809957225,291036.785514264,0.3993720106718746
historical,211,Oil and gas extraction,232864.42599873952,509417.6892145669,596256.6780815732,276553.2632158274,0.45711884555437365
historical,511,"Publishing industries, except internet (includes software)",215506.43429067454,436269.219875468,374609.35317737935,220762.78558479346,0.4939757940112996
historical,111CA,Farms,31307.991070604538,251395.9778373689,239506.83589027412,220087.98676676437,0.12453656315399786
historical,23,Construction,85561.41699879689,298505.20130802365,249120.91420276283,212943.78430922676,0.2866329183675
historical,81,"Other services, except government",31142.663506507917,238030.1142621783,226593.7662852942,206887.45075567038,0.13083497272200537
historical,512,Motion picture and sound recording industries,19243.01361982549,218315.9872060529,192813.457889568,199072.9735862274,0.0881429430161859
historical,621,Ambulatory health care services,99239.56508326219,290489.5773161886,215814.48617657018,191250.0122329264,0.3416286601403365
historical,524,Insurance carriers and related activities,151181.13029084698,338823.4851261735,285277.79682328424,187642.3548353265,0.44619436646945854
historical,311FT,Food and beverage and tobacco products,21166.672471392296,202508.1211552334,172534.0421549554,181341.44868384112,0.10452258581356794
historical,561,Administrative and support services,109079.15933711732,289617.4802267997,245732.24490534293,180538.32088968233,0.37663182226327413
historical,61,Educational services,18620.667895917963,196722.09336989085,153515.76577017113,178101.4254739729,0.0946546855868703
historical,452,General merchandise stores,1120.2881303014553,151117.02787855643,110138.5682645494,149996.73974825497,0.007413381179000971
historical,523,"Securities, commodity contracts, and investments",123801.98258920465,265605.9990523667,193869.0242803995,141804.01646316206,0.4661113944372767
historical,GFE,Federal government enterprises,9809.408876244317,125490.81112747545,85933.38698659945,115681.40225123113,0.07816834386606819
historical,324,Petroleum and coal products,13577.761894316694,120077.5819334572,127296.2462636795,106499.82003914051,0.11307491103410973
historical,55,Management of companies and enterprises,97038.06404501665,201918.11630772677,201263.26015426117,104880.05226271012,0.4805812664036987
historical,711AS,"Performing arts, spectator sports, museums, and related activities",11757.11781704605,113851.92471229273,91681.70046490183,102094.80689524669,0.10326674622986518
historical,722,Food services and drinking places,38136.02819749734,138935.4761438683,118303.42293210587,100799.44794637096,0.27448733222037053
historical,3364OT,Other transportation equipment,28464.387705029283,126541.12855392465,127662.80656857751,98076.74084889537,0.2249417879412967
historical,713,"Amusements, gambling, and recreation industries",10384.289092635416,107374.79002413515,75951.40704627956,96990.50093149973,0.0967106812530324
historical,445,Food and beverage stores,1013.5263185370662,96415.41790798551,86547.38921271764,95401.89158944844,0.010512077223005243
historical,484,Truck transportation,66379.08592201346,156963.3057272286,139456.970584462,90584.21980521515,0.4228955653964581
historical,5415,Computer systems design and related services,181656.5655576701,269548.47111924365,221916.03856767854,87891.90556157354,0.6739291260060917
historical,332,Fabricated metal products,20694.045556947924,108290.16871134646,93843.13088257985,87596.12315439853,0.19109810062360386
historical,487OS,Other transportation and support activities,35073.348346317296,120482.8539950632,80558.83177109028,85409.5056487459,0.29110655320095946
historical,212,"Mining, except oil and gas",9503.79804182947,94849.94088137626,74779.9077744131,85346.14283954678,0.10019824950355384
historical,481,Air transportation,12720.080748805964,85648.87777736006,95258.76500783017,72928.7970285541,0.14851427221114527
historical,486,Pipeline transportation,7030.225662060141,77146.32256427911,65636.95115686217,70116.09690221897,0.09112846119401848
historical,721,Accommodation,13002.598959847764,79446.26837732116,99509.13581965979,66443.6694174734,0.16366532029035494
historical,326,Plastics and rubber products,12217.030298401334,76477.47895101435,68660.55524516861,64260.44865261301,0.15974677076145036
historical,441,Motor vehicle and parts dealers,2025.923625467545,65890.45440366017,64068.32114846068,63864.53077819263,0.030746845560606823
historical,213,Support activities for mining,12603.395939798387,74750.09688341209,75069.18107524312,62146.7009436137,0.16860708501095237
historical,482,Rail transportation,9028.494527419054,70835.36385542169,69091.66439709201,61806.869328002635,0.12745744549073873
historical,339,Miscellaneous manufacturing,40220.488107643294,99088.49177398883,85896.82759570365,58868.00366634554,0.40590473613608224
historical,322,Paper products,7479.833178978952,65452.558157668784,61324.109238966514,57972.72497868983,0.11427869879372428
historical,327,Nonmetallic mineral products,10353.73473252918,58880.93069605009,55264.861215157856,48527.19596352091,0.17584190008776032
historical,623,Nursing and residential care facilities,4310.049323011918,51513.84073833047,34751.15346599037,47203.791415318556,0.08366779221346025
historical,562,Waste management and remediation services,5196.322881970469,51567.0138195647,41745.955491345536,46370.690937594234,0.10076834970806409
historical,493,Warehousing and storage,2895.064033587692,45602.0264333979,25638.5515908756,42706.96239981021,0.06348542510092078
historical,3361MV,"Motor vehicles, bodies and trailers, and parts",228797.33976996905,261416.72786709983,249424.68623170978,32619.38809713078,0.8752207314226886
historical,624,Social assistance,3272.0774874205076,35171.408221610756,24703.192754161646,31899.330734190247,0.09303231382728681
historical,532RL,Rental and leasing services and lessors of intangible assets,307839.85021908954,337322.53954460844,378276.47371618444,29482.689325518906,0.9125979267044501
historical,483,Water transportation,3737.248855211228,31998.18156010392,29727.91034274802,28260.932704892693,0.11679566378456073
historical,525,"Funds, trusts, and other financial vehicles",2733.579524657592,25507.330874025716,12789.877523223768,22773.751349368125,0.1071683877140283
historical,5411,Legal services,4957.873123394596,26401.273760152064,28975.577520210383,21443.40063675747,0.18778916382730015
historical,323,Printing and related support activities,2580.3013459488398,19681.618997087444,24621.727540917356,17101.317651138605,0.13110208801068052
historical,313TT,Textile mills and textile product mills,2147.842361241262,14438.577712584816,15468.879119093088,12290.735351343554,0.1487571978346025
historical,485,Transit and ground passenger transportation,17639.949258256525,28279.757497581428,30870.898478343865,10639.808239324902,0.6237659307992705
historical,113FF,"Forestry, fishing, and related activities",26915.15121944768,34995.73270571536,36053.8985295207,8080.581486267678,0.7690980910667434
historical,335,"Electrical equipment, appliances, and components",45332.39160050387,52237.811354303376,47323.57512079798,6905.419753799506,0.8678080192341244
historical,321,Wood products,22225.58119763555,28117.107728312985,23597.318609298498,5891.5265306774345,0.7904647025716353
historical,315AL,Apparel and leather and allied products,1120.6025881756063,6096.016720870153,7675.4386406360145,4975.414132694546,0.1838253796678645
historical,337,Furniture and related products,16708.662918061676,16789.34623423123,14780.997736939687,80.68331616955402,0.995194374155853
historical,333,Machinery,190913.5426773067,147380.45165507816,133097.36343017084,-43533.09102222853,1.2953790040222648
historical,331,Primary metals,139856.52250509817,75781.26931615733,70007.00583257953,-64075.25318894084,1.8455288987258933
historical,334,Computer and electronic products,1035877.4564224075,585200.6247412955,569321.9414315632,-450676.83168111206,1.7701236338911062
