technology_mode,final_mean_harmony,final_cv_harmony,capital_transfers,inventory_transfers,planned_investment_5y_real_musd,planned_over_observed_investment,stock_2023_over_observed
frozen,0.4196346594277191,0.0848061798974074,86,0,6349314.926552771,0.2687727901475962,0.7873808877672887
historical,0.4194880521717638,0.08643638209600185,74,0,6489951.347337123,0.2747260691466431,0.7885975383254547
