technology_mode,replacement_fraction_of_modeled_depreciation,floor_investment_5y_real_musd,initial_floor_mean_harmony,final_mean_harmony_after_targeted_additions,final_cv_harmony,total_investment_5y_real_musd,total_investment_over_observed,stock_2023_over_observed,minimum_production_scale
frozen,0.0,741619.0125194247,0.3376169333058251,0.4196346594277191,0.0848061798974074,6349314.926552771,0.2687727901475962,0.7873808877672887,0.6244433352664155
frozen,0.1,2119872.8096696315,0.34599056976443465,0.4135091488071684,0.08180488456135968,6920297.128911778,0.2929430323592186,0.7959334082706707,0.6244433352664155
frozen,0.2,3485921.0439738063,0.35225659929411596,0.410791377866831,0.07323459465027093,7516086.282294834,0.3181633773801858,0.8040802775166245,0.6244433352664155
frozen,0.3,4893176.899544282,0.34858055479002426,0.4032600522979325,0.06473436089096685,7865863.765056792,0.3329698046971838,0.8096455593437646,0.6244433352664155
historical,0.0,688183.2966628455,0.3325585991888308,0.4194880521717638,0.08643638209600185,6489951.347337123,0.2747260691466431,0.7885975383254547,0.6304525492873412
historical,0.1,2069341.9961711254,0.34315815261619587,0.4138308725174394,0.08246683852586188,7140557.906638482,0.30226688925945067,0.7985681996207882,0.6304525492873412
historical,0.2,3430401.3232335392,0.3514234091322115,0.40778733703163683,0.0789113789403929,7499384.565200439,0.3174563771517133,0.802857097922801,0.6150377161693829
historical,0.3,4832307.702181283,0.335646054267866,0.4017962397630252,0.08296602523713698,7970734.358301943,0.3374090807886969,0.8098458424335166,0.5984311592837553
