technology_mode,diagnostic,shadow_year,shadow_assumption,six_year_mean_harmony,six_year_cv_harmony,capital_transfers,planned_investment_2019_2023_real_musd,planned_over_observed_2019_2023,investment_2023_real_musd,investment_shadow_2024_real_musd,shadow_2024_fulfillment,stock_2023_over_observed,all_transfer_gains_positive
frozen,stationary_2024_shadow_year,2024,"repeat 2023 target, technology, labour and import envelope; no claim of observed 2024",0.41338982002455277,0.0807623887808713,166,5300496.465573253,0.22437526578840974,1001392.981166745,2487777.2101639714,0.6244433352664022,0.7707389829805429,True
historical,stationary_2024_shadow_year,2024,"repeat 2023 target, technology, labour and import envelope; no claim of observed 2024",0.40902404067865067,0.07144843209276808,171,5818135.589689009,0.24628744265907032,1020992.8694956645,2553839.649018788,0.6304525492846146,0.7759547695827722,True
