year,bea_code,sector_name,required_imported_intermediate_real,import_cap_real,slack_real,required_over_cap
2019,111CA,Farms,17469.118029891986,18114.173708035378,645.0556781433916,0.9643894505738759
2019,113FF,"Forestry, fishing, and related activities",30842.621847769384,33628.95841554425,2786.336567774866,0.9171447258834237
2019,211,Oil and gas extraction,179735.7837940024,201910.9633989711,22175.179604968696,0.8901734743291225
2019,212,"Mining, except oil and gas",4085.657634193154,5052.5990863133475,966.9414521201934,0.8086249402333391
2019,213,Support activities for mining,114.31898961350798,137.4991954212621,23.18020580775412,0.8314156985665556
2019,22,Utilities,782.1249090789701,1003.2246838980753,221.09977481910528,0.7796109103296661
2019,23,Construction,0.0,0.0,0.0,0.0
2019,321,Wood products,8831.693859977768,15375.009593103629,6543.315733125861,0.5744187544402687
2019,327,Nonmetallic mineral products,12119.853970694767,18366.41187716035,6246.557906465583,0.6598923105806245
2019,331,Primary metals,77724.88872896653,96408.82722076838,18683.938491801848,0.8062009565885793
2019,332,Fabricated metal products,42390.37329042495,58644.3725201569,16253.999229731955,0.7228378694964257
2019,333,Machinery,89144.84630792736,119834.63499539564,30689.788687468274,0.7438988428625208
2019,334,Computer and electronic products,135677.91997255507,163567.55190573094,27889.63193317587,0.8294916589003574
2019,335,"Electrical equipment, appliances, and components",60609.29973111917,89927.59164005371,29318.291908934538,0.6739789048695464
2019,3361MV,"Motor vehicles, bodies and trailers, and parts",99949.12152920853,126226.45673783247,26277.335208623947,0.7918238704648031
2019,3364OT,Other transportation equipment,60506.1250840889,79660.0870148716,19153.96193078271,0.7595538412202978
2019,337,Furniture and related products,8628.628484691679,9758.462555612725,1129.834070921046,0.8842200741682198
2019,339,Miscellaneous manufacturing,24862.882355046982,27496.77176652932,2633.889411482338,0.9042109585137386
2019,311FT,Food and beverage and tobacco products,33746.71507358782,35091.100173776416,1344.3851001885996,0.9616887161265677
2019,313TT,Textile mills and textile product mills,27347.484532726045,34445.26937416898,7097.784841442935,0.7939402138406364
2019,315AL,Apparel and leather and allied products,15234.561461155618,17122.038780316285,1887.4773191606673,0.8897632844208637
2019,322,Paper products,19105.741126797217,21738.60184387517,2632.860717077954,0.8788854620924132
2019,323,Printing and related support activities,2648.1529689298577,3151.7056482516373,503.5526793217796,0.8402285189287527
2019,324,Petroleum and coal products,49014.441240800246,55032.677853446934,6018.236612646688,0.8906424901097242
2019,325,Chemical products,146260.50580193836,171935.34292236576,25674.8371204274,0.8506715566210236
2019,326,Plastics and rubber products,29710.093227117126,38436.88312537869,8726.789898261566,0.7729579198761948
2019,42,Wholesale trade,0.0,0.0,0.0,0.0
2019,441,Motor vehicle and parts dealers,0.0,0.0,0.0,0.0
2019,445,Food and beverage stores,0.0,0.0,0.0,0.0
2019,452,General merchandise stores,0.0,0.0,0.0,0.0
2019,4A0,Other retail,0.0,0.0,0.0,0.0
2019,481,Air transportation,27740.672901508326,33653.61880270938,5912.945901201056,0.8242998491227631
2019,482,Rail transportation,0.0,0.0,0.0,0.0
2019,483,Water transportation,0.0,0.0,0.0,0.0
2019,484,Truck transportation,0.0,0.0,0.0,0.0
2019,485,Transit and ground passenger transportation,0.0,0.0,0.0,0.0
2019,486,Pipeline transportation,0.0,0.0,0.0,0.0
2019,487OS,Other transportation and support activities,28.237466258352278,31.390158947170367,3.152692688818089,0.8995642967554236
2019,493,Warehousing and storage,0.0,0.0,0.0,0.0
2019,511,"Publishing industries, except internet (includes software)",3464.5012519379443,4121.414968085227,656.9137161472827,0.8406096640997839
2019,512,Motion picture and sound recording industries,9853.518056530684,12818.97031276133,2965.4522562306465,0.7686668910311363
2019,513,Broadcasting and telecommunications,90.75930586518885,104.75183963675842,13.992533771569569,0.8664220712486709
2019,514,"Data processing, internet publishing, and other information services",1044.5983962543942,1266.5169895323631,221.91859327796897,0.8247804055436255
2019,521CI,"Federal Reserve banks, credit intermediation, and related activities",4037.240189142636,4771.521861618415,734.2816724757786,0.8461116403170532
2019,523,"Securities, commodity contracts, and investments",42.20358905453427,47.65768760801373,5.4540985534794615,0.8855567941453721
2019,524,Insurance carriers and related activities,52146.21886852745,57190.053822725604,5043.8349541981515,0.9118057316429053
2019,525,"Funds, trusts, and other financial vehicles",0.0,0.0,0.0,0.0
2019,HS,Housing,0.0,0.0,0.0,0.0
2019,ORE,Other real estate,0.0,0.0,0.0,0.0
2019,532RL,Rental and leasing services and lessors of intangible assets,0.0,0.0,0.0,0.0
2019,5411,Legal services,2500.280246041196,2966.435717183621,466.1554711424251,0.8428567089985688
2019,5415,Computer systems design and related services,16720.89698605349,20089.730269728043,3368.833283674554,0.832310676228897
2019,5412OP,"Miscellaneous professional, scientific, and technical services",44004.56211222101,52622.11108972563,8617.548977504623,0.8362371102365905
2019,55,Management of companies and enterprises,0.0,0.0,0.0,0.0
2019,561,Administrative and support services,1927.7211399916991,2320.6557770083423,392.93463701664314,0.8306794825369611
2019,562,Waste management and remediation services,240.70736925015711,273.66387537209596,32.956506121938844,0.8795730489560287
2019,61,Educational services,235.32949412694686,244.51005008854264,9.180555961595786,0.9624532572044736
2019,621,Ambulatory health care services,5.746574943572585,5.942978419607251,0.196403476034666,0.9669520125823298
2019,622,Hospitals,0.0,0.0,0.0,0.0
2019,623,Nursing and residential care facilities,0.9816499307217166,1.052113270771604,0.07046334004988752,0.9330268498578953
2019,624,Social assistance,0.0,0.0,0.0,0.0
2019,711AS,"Performing arts, spectator sports, museums, and related activities",343.9432832807322,420.8073709848082,76.86408770407598,0.8173413941771213
2019,713,"Amusements, gambling, and recreation industries",0.0,0.0,0.0,0.0
2019,721,Accommodation,0.0,0.0,0.0,0.0
