iteration,technology_mode,source_year,destination_year,mean_harmony_before,mean_harmony_after,gain,cv_before,cv_after,destination_harmony_before,destination_harmony_after,current_worst_fulfillment,desired_worst_fulfillment,step,capital_at_destination_gap_real_musd,investment_at_source_real_musd,top_capital_sources,top_capacity_destinations
11,frozen,2019,2023,0.36628291321004225,0.3672339608772984,0.0009510476672561774,0.22280752202776893,0.21966215036764666,0.26028149643412923,0.26248441998082744,0.3870521620013075,0.39149391524909133,0.004441753247783846,1641.7082385333117,4223.7161156167385,5415:1380.367; 334:1071.357; 23:520.558; 511:334.699; 42:243.672,514:3402.329; 5415:821.387
12,frozen,2019,2023,0.3672339608772984,0.3681715438871941,0.0009375830098956595,0.21966215036764666,0.21660328763410291,0.26248441998082744,0.2646581730521598,0.3914939152490911,0.3959029388627803,0.004409023613689146,1659.4347037206703,4289.4446458691855,5415:1410.902; 334:1087.313; 23:527.876; 511:338.922; 42:246.665,514:3377.258; 5415:912.186
13,frozen,2019,2023,0.3681715438871941,0.36909588440559865,0.000924340518404565,0.21660328763410291,0.21362898479851358,0.2646581730521598,0.2668031854766597,0.39590293886278005,0.4002792950145629,0.00437635615178283,1647.1395733880786,4257.663171818318,5415:1400.448; 334:1079.257; 23:523.965; 511:336.411; 42:244.838,514:3352.235; 5415:905.428
14,frozen,2019,2023,0.36909588440559865,0.37000720031269374,0.0009113159070950894,0.21362898479851358,0.2107373479089589,0.2668031854766597,0.2689198801856783,0.40027929501456266,0.4046230504522213,0.004343755437658619,1634.8695650769869,4225.94663525513,5415:1390.016; 334:1071.217; 23:520.062; 511:333.905; 42:243.014,514:3327.264; 5415:898.683
15,frozen,2019,2023,0.37000720031269374,0.3705038235463422,0.0004966232336484633,0.2107373479089589,0.20855300309467767,0.2689198801856783,0.2710086733219506,0.4046230504522211,0.4089342763686988,0.004311225916477692,1622.62635182327,4194.2993607816925,5415:1379.606; 334:1063.195; 23:516.167; 511:331.405; 42:241.194,514:3302.346; 5415:891.953
16,frozen,2019,2023,0.3705038235463422,0.37091416829799356,0.0004103447516513592,0.20855300309467767,0.20654876746206757,0.2710086733219506,0.27306039816595873,0.40893427636869856,0.4131931142900202,0.004258837921321631,1602.908957488973,4143.332202286023,5415:1362.842; 334:1050.276; 23:509.895; 511:327.377; 42:238.263,514:3262.218; 5415:881.114
17,frozen,2019,2023,0.37091416829799356,0.37131688818234043,0.00040271988434686934,0.20654876746206757,0.20460018481680364,0.27306039816595873,0.27507399865924487,0.41319311429002,0.4173962555702835,0.004203141280263497,1581.9462802273665,4089.146133053377,5415:1345.019; 334:1036.540; 23:503.226; 511:323.096; 42:235.147,514:3219.555; 5415:869.591
18,frozen,2019,2023,0.37131688818234043,0.37171215164162175,0.00039526345928131423,0.20460018481680364,0.20270570394183818,0.27507399865924487,0.2770503170131679,0.41739625557028326,0.421544342415924,0.004148086845640733,1561.2253117292448,4035.584852707594,5415:1327.401; 334:1022.963; 23:496.635; 511:318.864; 42:232.067,514:3177.384; 5415:858.201
19,frozen,2019,2023,0.37171215164162175,0.3721001225630226,0.00038797092140085976,0.20270570394183818,0.20086381967689865,0.2770503170131679,0.27899017266381543,0.42154434241592387,0.4256380125414077,0.004093670125483831,1540.744361341398,3982.6439911078664,5415:1309.988; 334:1009.543; 23:490.120; 511:314.681; 42:229.023,514:3135.701; 5415:846.943
20,frozen,2019,2023,0.3721001225630226,0.3724809604278227,0.00038083786480008763,0.20086381967689865,0.19907307120333814,0.27899017266381543,0.28089436301774795,0.4256380125414075,0.42967789908612386,0.0040398865447164025,1520.5017071312723,3930.31909725991,5415:1292.777; 334:996.280; 23:483.681; 511:310.547; 42:226.014,514:3094.504; 5415:835.815
