year,gross_wmape,gross_corr,gross_aggregate_ratio,stock_wmape,stock_corr,stock_aggregate_ratio,investment_wmape,investment_corr,investment_aggregate_ratio,import_required_sum,import_cap_sum,inventory_net_change_sum
2019,0.16919204720279443,0.945605742107499,0.8308079527972055,0.06324038666533506,0.9999247260994942,0.9386994526335906,0.9077688047658116,0.09862542002601402,0.12017915333861713,1344624.003558884,1639424.2929023218,0.0
2020,0.2683970610310561,0.9442627641593232,0.7323728629625911,0.11626277900244682,0.9998066920441401,0.8838856776769753,0.88670928265143,0.13116160683527564,0.11387334898804921,1136878.6906479478,1523178.5863490535,0.0
2021,0.3406556626972816,0.940736794869086,0.6594330287730118,0.17021874467793002,0.9995931657307088,0.8299199157868884,0.9305780617616363,0.13013479883476486,0.06947536588804513,1075939.1172057693,1613392.8317733733,0.0
2022,0.3753933517322069,0.9385786626328898,0.6246066482677929,0.22167480676031934,0.9992764460829809,0.7784313733656609,0.9662615057288612,0.19361572374166194,0.03373849427113904,1038460.5794410602,1644063.8819043897,0.0
2023,0.43000492140154634,0.9293816461583155,0.5700641925835708,0.272163867265592,0.9988304169582012,0.7278994931432831,1.0,nan,0.0,973102.6570599261,1686824.1976389918,0.0
